,timestamp,trans_error,trans_error_gt
0,1.5205309631531395e+18,0.007125063509930239,0.005673086310215897
1,1.5205309632031396e+18,0.009087740083274672,0.007654480939369541
2,1.5205309632531405e+18,0.009168874236242892,0.007631964959667293
3,1.5205309633031396e+18,0.009990571560487526,0.008369165234670479
4,1.5205309633531405e+18,0.008429600604268846,0.006945380137368153
5,1.5205309634031396e+18,0.008285469272605797,0.006956322519302833
6,1.5205309634531395e+18,0.01096418485962823,0.009804360364417111
7,1.5205309635031406e+18,0.01077295648607676,0.009349477825010001
8,1.5205309635531395e+18,0.006710945335817934,0.005270385312399265
9,1.5205309636031406e+18,0.01140773469671841,0.009944339417535832
10,1.5205309636531395e+18,0.008502604736486495,0.007113630140100116
11,1.5205309637031396e+18,0.01225819379871989,0.010951058775207812
12,1.5205309637531405e+18,0.013510708933749511,0.012135572975131376
13,1.5205309638031396e+18,0.012689850904388846,0.011223911803003798
14,1.5205309638531405e+18,0.012246499025349035,0.010804909148916166
15,1.5205309639031396e+18,0.007901882734265208,0.006501727164347817
16,1.5205309639531395e+18,0.010146048874186409,0.008682626697459452
17,1.5205309640031406e+18,0.009392044476972936,0.007987300031502595
18,1.5205309640531395e+18,0.009993171789654757,0.008615169612971594
19,1.5205309641031406e+18,0.010592596521360784,0.00922601724923868
20,1.5205309641531395e+18,0.011216091203732799,0.009823883683355909
21,1.5205309642031396e+18,0.007559702088079509,0.006128386407809947
22,1.5205309642531405e+18,0.007294282592829101,0.006200977808884892
23,1.5205309643031396e+18,0.008197765286305718,0.0067778090015866935
24,1.5205309643531405e+18,0.00830864967760326,0.0067838091012003875
25,1.5205309644031396e+18,0.008067358576450086,0.006705924905998428
26,1.5205309644531395e+18,0.007310554103483435,0.0059512284975402245
27,1.5205309645031406e+18,0.010034331469481184,0.00883533745512476
28,1.5205309645531395e+18,0.009238291734116144,0.007896082344392215
29,1.5205309646031406e+18,0.009978045673171267,0.008757215370880459
30,1.5205309646531395e+18,0.010929482657544922,0.009592429556917248
31,1.5205309647031396e+18,0.006196596758710881,0.004702812551395302
32,1.5205309647531405e+18,0.0070832537051493255,0.005529964750794498
33,1.5205309648031396e+18,0.005175336447049788,0.003851138599472588
34,1.5205309648531405e+18,0.006401888972255568,0.005056001757772764
35,1.5205309649031396e+18,0.006342917418935605,0.005018516353413683
36,1.5205309649531395e+18,0.006117701050467425,0.00468450087763673
37,1.5205309650031406e+18,0.00741808675640334,0.0060268203628898575
38,1.5205309650531395e+18,0.006934619152773123,0.005601389398265734
39,1.5205309651031406e+18,0.006525384958106914,0.005129054807147222
40,1.5205309651531395e+18,0.006786581673900707,0.005310604542013472
