,timestamp,trans_error,trans_error_gt
0,1.403715532962143e+18,0.005974790161347288,0.018553220443108788
1,1.4037155330121428e+18,0.00808708569400809,0.018995256111526818
2,1.403715533062143e+18,0.00796790593217426,0.01577523882609502
3,1.403715533112143e+18,0.007931385387966209,0.01410602123506191
4,1.403715533162143e+18,0.014982107697113396,0.02364256530105516
5,1.4037155332121428e+18,0.008970110262486272,0.01273591788783782
6,1.403715533262143e+18,0.00805634614730556,0.015462671294812137
7,1.403715533312143e+18,0.009616735602542514,0.015564134655248455
8,1.403715533362143e+18,0.008914157476510183,0.01697034220007402
9,1.403715533412143e+18,0.011023508947371755,0.02134787006281467
10,1.403715533462143e+18,0.021489242279783938,0.026522811086769765
11,1.4037155335121428e+18,0.05416558948436139,0.06089542483125255
12,1.403715533562143e+18,0.055665790261403184,0.06432172208239913
13,1.403715533612143e+18,0.049572770063151465,0.0591845412571587
14,1.403715533662143e+18,0.04938097346610644,0.06112749322879997
15,1.4037155337121428e+18,0.07423058743729076,0.08530560707342821
16,1.403715533762143e+18,0.07577354906229526,0.08672407705333365
17,1.403715533812143e+18,0.014673828513216199,0.004615709758739235
18,1.403715533862143e+18,0.011197079015542928,0.007932371105475938
19,1.403715533912143e+18,0.004816284554913114,0.014717655113315404
20,1.403715533962143e+18,0.014675457982307348,0.028980611453172076
21,1.4037155340121428e+18,0.019539993127443724,0.03332605314637077
22,1.403715534062143e+18,0.016032908404123178,0.009198745352772316
23,1.403715534112143e+18,0.013544161505912384,0.009537990062367779
24,1.403715534162143e+18,0.013996931726941497,0.012608770057233517
25,1.4037155342121428e+18,0.017969379496976523,0.02518063199633661
26,1.403715534262143e+18,0.01807187722189378,0.022639418941926438
27,1.403715534312143e+18,0.018146982051544948,0.014323865421171979
28,1.403715534362143e+18,0.018119849129320003,0.014769251051111685
29,1.403715534412143e+18,0.012997366251457837,0.011358784699228627
30,1.403715534462143e+18,0.015810600062258446,0.015691881829110542
31,1.4037155345121428e+18,0.017941635032145523,0.017090561972702176
32,1.403715534562143e+18,0.020584239152149672,0.01918180303354566
33,1.403715534612143e+18,0.020255704152212575,0.022047730274129314
34,1.403715534662143e+18,0.019742575384602647,0.02325278049235996
35,1.4037155347121428e+18,0.016441840150458607,0.02191552123185108
36,1.403715534762143e+18,0.020026563074660917,0.025562154546505348
37,1.403715534812143e+18,0.02187768477790027,0.02269291288339952
38,1.403715534862143e+18,0.016538278048300943,0.01972617597128056
39,1.403715534912143e+18,0.01822951365085659,0.02162225981580903
40,1.403715534962143e+18,0.017813289633496193,0.021200688666172654
41,1.4037155350121428e+18,0.024742852293718223,0.028187920533653044
42,1.403715535062143e+18,0.013351738454014338,0.00817912347082183
43,1.403715535112143e+18,0.01106805511963302,0.008071507516123908
44,1.403715535162143e+18,0.013201918738280546,0.010911880002969982
45,1.4037155352121428e+18,0.013093002468810854,0.00971422860654762
46,1.403715535262143e+18,0.012881068408541679,0.009056152443617753
47,1.403715535312143e+18,0.017393402414415896,0.011511486932448063
48,1.403715535362143e+18,0.06945817864121596,0.06822748482789107
49,1.403715535412143e+18,0.0185375756136804,0.012682387153190158
50,1.403715535462143e+18,0.025193812977517046,0.022022288296150102
51,1.4037155355121428e+18,0.035791279997441645,0.03453486797975852
52,1.403715535562143e+18,0.04793815753591597,0.047957312839509866
53,1.403715535612143e+18,0.02547289361734578,0.022114119379814265
54,1.403715535662143e+18,0.03404736142983118,0.0327393297717356
55,1.4037155357121428e+18,0.04459947126235388,0.04475858494152307
56,1.403715535762143e+18,0.05560877647837015,0.05687591088853545
57,1.403715535812143e+18,0.0310948244953023,0.028749773726642565
58,1.403715535862143e+18,0.039225473346142285,0.038742154307728316
59,1.403715535912143e+18,0.04855005634581298,0.04947641254848882
60,1.403715535962143e+18,0.057942097784625515,0.05999233713103625
61,1.4037155360121428e+18,0.040980448017900385,0.041212095560871916
62,1.403715536062143e+18,0.04792453925755212,0.04943531426339367
63,1.403715536112143e+18,0.05521217161492567,0.05779031829254541
64,1.403715536162143e+18,0.044978370699498164,0.0468569893591026
65,1.4037155362121428e+18,0.04981373618825163,0.05281214679740028
66,1.403715536262143e+18,0.054919486571943676,0.058912020585695
67,1.403715536312143e+18,0.02782502374225134,0.012390934220319352
68,1.403715536362143e+18,0.02705472494452374,0.013694356770043044
69,1.403715536412143e+18,0.027386998799721465,0.017109050657632498
70,1.403715536462143e+18,0.0265155651490509,0.013117379656309188
